VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
2447926,kaltenbach virus 1,reptarenavirus,arenaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
2282480,kammavanpettai virus,orbivirus,reoviridae,reovirales,resentoviricetes,TRUE,FALSE
1272944,kannamangalam virus,NA,rhabdoviridae,mononegavirales,monjiviricetes,TRUE,FALSE
2499677,kappaarterivirus wobum,kappaarterivirus,arteriviridae,nidovirales,pisoniviricetes,TRUE,TRUE
122291,kappapapillomavirus 1,kappapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
10623,kappapapillomavirus 2,kappapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
2755161,kasama virus,orthoreovirus,reoviridae,reovirales,resentoviricetes,TRUE,FALSE
1980524,kasokero orthonairovirus,orthonairovirus,nairoviridae,bunyavirales,ellioviricetes,TRUE,TRUE
670569,katsuwonus pelamis iridovirus,NA,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
2576440,kedah fatal kidney syndrome virus,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
64311,kedougou virus,flavivirus,flaviviridae,amarillovirales,flasuviricetes,TRUE,TRUE
2447927,keijut pohjoismaissa virus 1,reptarenavirus,arenaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
1980474,kenkeme orthohantavirus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
681848,kenya bat coronavirus btky01,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681849,kenya bat coronavirus btky02,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681850,kenya bat coronavirus btky03,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681851,kenya bat coronavirus btky04,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681852,kenya bat coronavirus btky05,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681854,kenya bat coronavirus btky07,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681855,kenya bat coronavirus btky08,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681856,kenya bat coronavirus btky09,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681857,kenya bat coronavirus btky10,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903568,kenya bat coronavirus btky100,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903569,kenya bat coronavirus btky101,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903570,kenya bat coronavirus btky102,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903571,kenya bat coronavirus btky103,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903572,kenya bat coronavirus btky104,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903573,kenya bat coronavirus btky105,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903574,kenya bat coronavirus btky106,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903575,kenya bat coronavirus btky107,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903576,kenya bat coronavirus btky108,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903577,kenya bat coronavirus btky109,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681858,kenya bat coronavirus btky11,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903578,kenya bat coronavirus btky110,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903579,kenya bat coronavirus btky111,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
