Host,HostTaxID,HostNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms
callorhinus ursinus,NA,TRUE,callorhinus,otariidae,carnivora,mammalia,Callorhinus ursinus,"Phoca ursina, Otaria krachenninikowii, Callorhinus curilensis, Phoca nigra, Siren cynocephala, Phoca minima, Arctocephalus californianus, Callorhinus alascanus, NA"
callosciurus erythraeus,64677,TRUE,callosciurus,sciuridae,rodentia,mammalia,Callosciurus erythraeus,"NA"
callosciurus erythraeus,1591310,TRUE,callosciurus,sciuridae,rodentia,mammalia,Callosciurus erythraeus thaiwanensis,"NA"
callosciurus finlaysonii,127500,TRUE,callosciurus,sciuridae,rodentia,mammalia,Callosciurus finlaysonii,"NA"
callosciurus notatus,64678,TRUE,callosciurus,sciuridae,rodentia,mammalia,Callosciurus notatus,"NA"
callosciurus prevostii,64676,TRUE,callosciurus,sciuridae,rodentia,mammalia,Callosciurus prevostii,"NA"
callospermophilus lateralis,76772,TRUE,callospermophilus,sciuridae,rodentia,mammalia,Callospermophilus lateralis,"NA"
callospermophilus lateralis,NA,TRUE,callospermophilus,sciuridae,rodentia,mammalia,"Callospermophilus lateralis, Spermophilus lateralis",Spermophilus lateralis
calomys callidus,414451,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys callidus,"NA"
calomys callidus,NA,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys callidus,"NA"
calomys callosus,56210,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys callosus,"NA"
calomys callosus,NA,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys callosus,Hesperomys muriculus
calomys fecundus,160455,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys fecundus,"NA"
calomys laucha,56211,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys laucha,"NA"
calomys laucha,NA,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys laucha,"Mus bimaculatus, Mus gracilipes, Mus pusillus, Hesperomys bimaculatus bonariensis"
calomys musculinus,56212,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys musculinus,"NA"
calomys musculinus,NA,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys musculinus,"NA"
calomys tener,162310,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys tener,"NA"
calomys tener,NA,TRUE,calomys,cricetidae,rodentia,mammalia,Calomys tener,"NA"
calotes versicolor,48253,TRUE,calotes,agamidae,squamata,lepidosauria,Calotes versicolor,"NA"
calotriton asper,30374,TRUE,calotriton,salamandridae,caudata,amphibia,Calotriton asper,"NA"
caluromys derbianus,992409,TRUE,caluromys,didelphidae,didelphimorphia,mammalia,Caluromys derbianus,"NA"
caluromys derbianus,NA,TRUE,caluromys,didelphidae,didelphimorphia,mammalia,Caluromys derbianus,"NA"
caluromys philander,70610,TRUE,caluromys,didelphidae,didelphimorphia,mammalia,Caluromys philander,"NA"
caluromys philander,NA,TRUE,caluromys,didelphidae,didelphimorphia,mammalia,Caluromys philander,"NA"
calypte anna,9244,TRUE,calypte,trochilidae,apodiformes,aves,Calypte anna,"NA"
calypte costae,371909,TRUE,calypte,trochilidae,apodiformes,aves,Calypte costae,"NA"
calyptorhynchus banksii,35551,TRUE,calyptorhynchus,cacatuidae,psittaciformes,aves,Calyptorhynchus banksii,"Calyptorhynchus magnificus, NA"
