original,name,type,taxid,fuzzy,different
Bat Paramyxovirus Eid_hel/CD297/DRC/2009,Bat Paramyxovirus Eid_hel/CD297/DRC/2009,virus,1112627,false,false
Bat Paramyxovirus Eid_hel/GB1237/GAB/2005,Bat Paramyxovirus Eid_hel/GB1237/GAB/2005,virus,1112642,false,false
Bat Paramyxovirus Eid_hel/GB1535/GAB/2005,Bat Paramyxovirus Eid_hel/GB1535/GAB/2005,virus,1112643,false,false
Bat Paramyxovirus Eid_hel/GB1659/GAB/2005,Bat Paramyxovirus Eid_hel/GB1659/GAB/2005,virus,1112644,false,false
Bat Paramyxovirus Eid_hel/GB1661-AR/GAB/2005,Bat Paramyxovirus Eid_hel/GB1661-AR/GAB/2005,virus,1112611,false,false
Bat Paramyxovirus Eid_hel/GB1661-RMH/GAB/2005,Bat Paramyxovirus Eid_hel/GB1661-RMH/GAB/2005,virus,1112645,false,false
Bat Paramyxovirus Eid_hel/GB1663/GAB/2005,Bat Paramyxovirus Eid_hel/GB1663/GAB/2005,virus,1112612,false,false
Bat Paramyxovirus Eid_hel/GB1678/GAB/2005,Bat Paramyxovirus Eid_hel/GB1678/GAB/2005,virus,1112646,false,false
Bat Paramyxovirus Eid_hel/GB3378/GAB/2006,Bat Paramyxovirus Eid_hel/GB3378/GAB/2006,virus,1112594,false,false
Bat Paramyxovirus Eid_hel/GB3384/GAB/2006,Bat Paramyxovirus Eid_hel/GB3384/GAB/2006,virus,1112648,false,false
Bat Paramyxovirus Eid_hel/GH-M28/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M28/GHA/2009,virus,1112649,false,false
Bat Paramyxovirus Eid_hel/GH-M33/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M33/GHA/2009,virus,1112650,false,false
Bat Paramyxovirus Eid_hel/GH-M43/GHA/2010,Bat Paramyxovirus Eid_hel/GH-M43/GHA/2010,virus,1112629,false,false
Bat Paramyxovirus Eid_hel/GH-M5/GHA/2010,Bat Paramyxovirus Eid_hel/GH-M5/GHA/2010,virus,1112617,false,false
Bat Paramyxovirus Eid_hel/GH-M51a/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M51a/GHA/2009,virus,1112634,false,false
Bat Paramyxovirus Eid_hel/GH-M61a/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M61a/GHA/2009,virus,1112635,false,false
Bat Paramyxovirus Eid_hel/GH-M63a/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M63a/GHA/2009,virus,1112638,false,false
Bat Paramyxovirus Eid_hel/GH-M67a/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M67a/GHA/2009,virus,1112633,false,false
Bat Paramyxovirus Eid_hel/GH-M69a/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M69a/GHA/2009,virus,1112637,false,false
Bat Paramyxovirus Eid_hel/GH-M77/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M77/GHA/2009,virus,1112632,false,false
Bat Paramyxovirus Eid_hel/GH-M90a/GHA/2009,Bat Paramyxovirus Eid_hel/GH-M90a/GHA/2009,virus,1112636,false,false
Bat Paramyxovirus Eid_hel/GH72/GHA/2009,Bat Paramyxovirus Eid_hel/GH72/GHA/2009,virus,1112587,false,false
Bat Paramyxovirus Eid_hel/GH85/GHA/2009,Bat Paramyxovirus Eid_hel/GH85/GHA/2009,virus,1112618,false,false
Bat Paramyxovirus Eid_hel/GH9-02/GHA/2008,Bat Paramyxovirus Eid_hel/GH9-02/GHA/2008,virus,1112591,false,false
Bat Paramyxovirus Eid_hel/GH93/GHA/2009,Bat Paramyxovirus Eid_hel/GH93/GHA/2009,virus,1112619,false,false
Bat Paramyxovirus Eid_hel/RCA-P05/RCA/2008,Bat Paramyxovirus Eid_hel/RCA-P05/RCA/2008,virus,1112652,false,false
Bat Paramyxovirus Eid_hel/RCA-P09/RCA/2008,Bat Paramyxovirus Eid_hel/RCA-P09/RCA/2008,virus,1112653,false,false
Bat Paramyxovirus Eid_hel/RCA-P4/RCA/2008,Bat Paramyxovirus Eid_hel/RCA-P4/RCA/2008,virus,1112616,false,false
Bat Paramyxovirus Eid_hel/ZFB08-07/Zambia/2008,Bat Paramyxovirus Eid_hel/ZFB08-07/Zambia/2008,virus,1400361,false,false
Bat Paramyxovirus Eid_hel/ZFB09-05/Zambia/2009,Bat Paramyxovirus Eid_hel/ZFB09-05/Zambia/2009,virus,1400362,false,false
Bat Paramyxovirus Eid_hel/ZFB09-07/Zambia/2009,Bat Paramyxovirus Eid_hel/ZFB09-07/Zambia/2009,virus,1400363,false,false
Bat Paramyxovirus Eid_hel/ZFB09-24/Zambia/2009,Bat Paramyxovirus Eid_hel/ZFB09-24/Zambia/2009,virus,1400364,false,false
Bat Paramyxovirus Eid_hel/ZFB09-32/Zambia/2009,Bat Paramyxovirus Eid_hel/ZFB09-32/Zambia/2009,virus,1400365,false,false
Bat Paramyxovirus Eid_hel/ZFB09-39/Zambia/2009,Bat Paramyxovirus Eid_hel/ZFB09-39/Zambia/2009,virus,1400366,false,false
Bat Paramyxovirus Eid_hel/ZFB09-43/Zambia/2009,Bat Paramyxovirus Eid_hel/ZFB09-43/Zambia/2009,virus,1400367,false,false
Bat Paramyxovirus Eid_hel/ZFB09-51/Zambia/2009,Bat Paramyxovirus Eid_hel/ZFB09-51/Zambia/2009,virus,1400368,false,false
Bat Paramyxovirus Eid_hel/ZFB10-03/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-03/Zambia/2010,virus,1400369,false,false
Bat Paramyxovirus Eid_hel/ZFB10-07/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-07/Zambia/2010,virus,1400370,false,false
Bat Paramyxovirus Eid_hel/ZFB10-14/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-14/Zambia/2010,virus,1400371,false,false
Bat Paramyxovirus Eid_hel/ZFB10-22/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-22/Zambia/2010,virus,1400372,false,false
Bat Paramyxovirus Eid_hel/ZFB10-23/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-23/Zambia/2010,virus,1400373,false,false
Bat Paramyxovirus Eid_hel/ZFB10-24/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-24/Zambia/2010,virus,1400374,false,false
Bat Paramyxovirus Eid_hel/ZFB10-26/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-26/Zambia/2010,virus,1400375,false,false
Bat Paramyxovirus Eid_hel/ZFB10-27/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-27/Zambia/2010,virus,1400376,false,false
Bat Paramyxovirus Eid_hel/ZFB10-39/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-39/Zambia/2010,virus,1400377,false,false
Bat Paramyxovirus Eid_hel/ZFB10-42/Zambia/2010,Bat Paramyxovirus Eid_hel/ZFB10-42/Zambia/2010,virus,1400378,false,false
Bat Paramyxovirus Eid_hel/ZFB11-30/Zambia/2011,Bat Paramyxovirus Eid_hel/ZFB11-30/Zambia/2011,virus,1400379,false,false
Bat Paramyxovirus Eid_hel/ZFB11-35/Zambia/2011,Bat Paramyxovirus Eid_hel/ZFB11-35/Zambia/2011,virus,1400380,false,false
Bat Paramyxovirus Eid_hel/ZFB11-60/Zambia/2011,Bat Paramyxovirus Eid_hel/ZFB11-60/Zambia/2011,virus,1400381,false,false
Bat Paramyxovirus Eid_hel/ZFB11-66/Zambia/2011,Bat Paramyxovirus Eid_hel/ZFB11-66/Zambia/2011,virus,1400382,false,false
Bat Paramyxovirus Eid_hel/ZFB11-76/Zambia/2011,Bat Paramyxovirus Eid_hel/ZFB11-76/Zambia/2011,virus,1400383,false,false
Bat Paramyxovirus Eid_hel/ZFB11-88/Zambia/2011,Bat Paramyxovirus Eid_hel/ZFB11-88/Zambia/2011,virus,1400384,false,false
Bat Paramyxovirus Eid_hel/ZFB11-91/Zambia/2011,Bat Paramyxovirus Eid_hel/ZFB11-91/Zambia/2011,virus,1400385,false,false
Bat parvovirus,Bat parvovirus,virus,1514704,false,false
Bat posalivirus,Bat posalivirus,virus,1958781,false,false
Bat sapelovirus,Bat sapelovirus,virus,1958777,false,false
Bat sapovirus,Bat sapovirus,virus,1959930,false,false
Chiropteran tetraparvovirus 1,Chiropteran tetraparvovirus 1,virus,1511912,false,false
Crohivirus B,Crohivirus B,virus,2169854,false,false
Dyoupsilonpapillomavirus 1,Dyoupsilonpapillomavirus 1,virus,1932912,false,false
Eidolon bat coronavirus/Kenya/KY24/2006,Eidolon bat coronavirus/Kenya/KY24/2006,virus,983924,false,false
Eidolon helvum adenovirus,Eidolon helvum adenovirus,virus,2039267,false,false
Eidolon helvum adenovirus 1,Eidolon helvum adenovirus 1,virus,1335467,false,false
Eidolon helvum adenovirus 2,Eidolon helvum adenovirus 2,virus,1335468,false,false
Eidolon helvum adenovirus 3,Eidolon helvum adenovirus 3,virus,1335469,false,false
Eidolon helvum herpesvirus 1,Eidolon helvum herpesvirus 1,virus,1335470,false,false
Eidolon helvum herpesvirus 2,Eidolon helvum herpesvirus 2,virus,1335471,false,false
Eidolon helvum herpesvirus 3,Eidolon helvum herpesvirus 3,virus,1335472,false,false
Eidolon helvum kobuvirus,Eidolon helvum kobuvirus,virus,1335473,false,false
Eidolon helvum lung retrovirus 1,Eidolon helvum lung retrovirus 1,virus,1335474,false,false
Eidolon helvum papillomavirus,Eidolon helvum papillomavirus,virus,1940839,false,false
Eidolon helvum papillomavirus 4,Eidolon helvum papillomavirus 4,virus,1335478,false,false
Eidolon helvum papillomavirus 5,Eidolon helvum papillomavirus 5,virus,1335479,false,false
Eidolon helvum papillomavirus 6,Eidolon helvum papillomavirus 6,virus,1335480,false,false
Eidolon helvum papillomavirus 7,Eidolon helvum papillomavirus 7,virus,1335481,false,false
Eidolon helvum paramyxovirus,Eidolon helvum paramyxovirus,virus,1133726,false,false
Eidolon helvum parvovirus 2,Eidolon helvum parvovirus 2,virus,1335482,false,false
Eidolon helvum polyomavirus 1,Eidolon helvum polyomavirus 1,virus,1891722,false,false
Eidolon helvum poxvirus 1,Eidolon helvum poxvirus 1,virus,1335484,false,false
Eidolon helvum simplexvirus 1,Eidolon helvum simplexvirus 1,virus,570423,false,false
Eidolon helvum throat retrovirus 1,Eidolon helvum throat retrovirus 1,virus,1335475,false,false
Eidolon paramyxovirus RC09,Eidolon paramyxovirus RC09,virus,1132582,false,false
Eidolon polyomavirus 2,Eidolon polyomavirus 2,virus,1276188,false,false
Ghanaian bat henipavirus,Ghanaian bat henipavirus,virus,1979178,false,false
Hepatovirus H,Hepatovirus H,virus,1987129,false,false
Kenya bat coronavirus BtKY100,Kenya bat coronavirus BtKY100,virus,903568,false,false
Kenya bat coronavirus BtKY101,Kenya bat coronavirus BtKY101,virus,903569,false,false
Kenya bat coronavirus BtKY102,Kenya bat coronavirus BtKY102,virus,903570,false,false
Kenya bat coronavirus BtKY103,Kenya bat coronavirus BtKY103,virus,903571,false,false
Kenya bat coronavirus BtKY104,Kenya bat coronavirus BtKY104,virus,903572,false,false
Kenya bat coronavirus BtKY105,Kenya bat coronavirus BtKY105,virus,903573,false,false
Kenya bat coronavirus BtKY106,Kenya bat coronavirus BtKY106,virus,903574,false,false
Kenya bat coronavirus BtKY107,Kenya bat coronavirus BtKY107,virus,903575,false,false
Kenya bat coronavirus BtKY108,Kenya bat coronavirus BtKY108,virus,903576,false,false
Kenya bat coronavirus BtKY109,Kenya bat coronavirus BtKY109,virus,903577,false,false
Kenya bat coronavirus BtKY110,Kenya bat coronavirus BtKY110,virus,903578,false,false
Kenya bat coronavirus BtKY111,Kenya bat coronavirus BtKY111,virus,903579,false,false
Kenya bat coronavirus BtKY112,Kenya bat coronavirus BtKY112,virus,903580,false,false
Kenya bat coronavirus BtKY18,Kenya bat coronavirus BtKY18,virus,681864,false,false
Kenya bat coronavirus BtKY19,Kenya bat coronavirus BtKY19,virus,681865,false,false
Kenya bat coronavirus BtKY20,Kenya bat coronavirus BtKY20,virus,681866,false,false
Kenya bat coronavirus BtKY23,Kenya bat coronavirus BtKY23,virus,681869,false,false
Kenya bat coronavirus BtKY24,Kenya bat coronavirus BtKY24,virus,681870,false,false
Kenya bat coronavirus BtKY44,Kenya bat coronavirus BtKY44,virus,903582,false,false
Kenya bat coronavirus BtKY45,Kenya bat coronavirus BtKY45,virus,903583,false,false
Kenya bat coronavirus BtKY46,Kenya bat coronavirus BtKY46,virus,903584,false,false
Kenya bat coronavirus BtKY47,Kenya bat coronavirus BtKY47,virus,903585,false,false
Kenya bat coronavirus BtKY48,Kenya bat coronavirus BtKY48,virus,903586,false,false
Kenya bat coronavirus BtKY49,Kenya bat coronavirus BtKY49,virus,903587,false,false
Kenya bat coronavirus BtKY50,Kenya bat coronavirus BtKY50,virus,903588,false,false
Kenya bat coronavirus BtKY51,Kenya bat coronavirus BtKY51,virus,903589,false,false
Kenya bat coronavirus BtKY52,Kenya bat coronavirus BtKY52,virus,903590,false,false
Kenya bat coronavirus BtKY53,Kenya bat coronavirus BtKY53,virus,903591,false,false
Kenya bat coronavirus BtKY60,Kenya bat coronavirus BtKY60,virus,903598,false,false
Kenya bat coronavirus BtKY84,Kenya bat coronavirus BtKY84,virus,903622,false,false
Kenya bat coronavirus BtKY85,Kenya bat coronavirus BtKY85,virus,903623,false,false
Kenya bat coronavirus BtKY86,Kenya bat coronavirus BtKY86,virus,903624,false,false
Kenya bat coronavirus BtKY87,Kenya bat coronavirus BtKY87,virus,903625,false,false
Kenya bat coronavirus BtKY88,Kenya bat coronavirus BtKY88,virus,903626,false,false
Kenya bat coronavirus BtKY89,Kenya bat coronavirus BtKY89,virus,903627,false,false
Kenya bat coronavirus BtKY90,Kenya bat coronavirus BtKY90,virus,903628,false,false
Kenya bat coronavirus BtKY91,Kenya bat coronavirus BtKY91,virus,903629,false,false
Kenya bat coronavirus BtKY92,Kenya bat coronavirus BtKY92,virus,903630,false,false
Kenya bat coronavirus BtKY93,Kenya bat coronavirus BtKY93,virus,903631,false,false
Kenya bat coronavirus BtKY94,Kenya bat coronavirus BtKY94,virus,903632,false,false
Kenya bat coronavirus BtKY95,Kenya bat coronavirus BtKY95,virus,903633,false,false
Kenya bat coronavirus BtKY96,Kenya bat coronavirus BtKY96,virus,903634,false,false
Kenya bat coronavirus BtKY97,Kenya bat coronavirus BtKY97,virus,903635,false,false
Kenya bat coronavirus BtKY98,Kenya bat coronavirus BtKY98,virus,903636,false,false
Kenya bat coronavirus BtKY99,Kenya bat coronavirus BtKY99,virus,903637,false,false
Kenya bat coronavirus/BtKY56/BtKY55,Kenya bat coronavirus/BtKY56/BtKY55,virus,2042604,false,false
Kumasi ledantevirus,Kumasi ledantevirus,virus,1978543,false,false
Kunsagivirus B,Kunsagivirus B,virus,2169965,false,false
Limbe partiti-like virus,Limbe partiti-like virus,virus,2169482,false,false
Limbe picobirna-like virus,Limbe picobirna-like virus,virus,2169478,false,false
Lysoka partiti-like virus,Lysoka partiti-like virus,virus,2169481,false,false
Lysoka partitivirus,Lysoka partitivirus,virus,2169483,false,false
Lysoka picobirna-like virus,Lysoka picobirna-like virus,virus,2169479,false,false
Moyuka partiti-like virus,Moyuka partiti-like virus,virus,2169480,false,false
Paramyxovirus bat/GH10/2008,Paramyxovirus bat/GH10/2008,virus,589518,false,false
Paramyxovirus bat/GH11/2009,Paramyxovirus bat/GH11/2009,virus,714378,false,false
Paramyxovirus bat/GH12/2009,Paramyxovirus bat/GH12/2009,virus,714379,false,false
Paramyxovirus bat/GH13a/2009,Paramyxovirus bat/GH13a/2009,virus,714374,false,false
Paramyxovirus bat/GH15/2009,Paramyxovirus bat/GH15/2009,virus,714363,false,false
Paramyxovirus bat/GH16/2008,Paramyxovirus bat/GH16/2008,virus,589519,false,false
Paramyxovirus bat/GH17/2009,Paramyxovirus bat/GH17/2009,virus,714380,false,false
Paramyxovirus bat/GH18/2008,Paramyxovirus bat/GH18/2008,virus,589520,false,false
Paramyxovirus bat/GH18/2009,Paramyxovirus bat/GH18/2009,virus,714381,false,false
Paramyxovirus bat/GH19/2009,Paramyxovirus bat/GH19/2009,virus,714382,false,false
Paramyxovirus bat/GH1a/2009,Paramyxovirus bat/GH1a/2009,virus,714371,false,false
Paramyxovirus bat/GH2//2009,Paramyxovirus bat/GH2//2009,virus,714364,false,false
Paramyxovirus bat/GH2/2009,Paramyxovirus bat/GH2/2009,virus,714372,false,false
Paramyxovirus bat/GH20/2009,Paramyxovirus bat/GH20/2009,virus,714383,false,false
Paramyxovirus bat/GH21a/2009,Paramyxovirus bat/GH21a/2009,virus,714367,false,false
Paramyxovirus bat/GH22/2009,Paramyxovirus bat/GH22/2009,virus,714384,false,false
Paramyxovirus bat/GH24/2009,Paramyxovirus bat/GH24/2009,virus,714377,false,false
Paramyxovirus bat/GH24a/2009,Paramyxovirus bat/GH24a/2009,virus,714370,false,false
Paramyxovirus bat/GH25/2009,Paramyxovirus bat/GH25/2009,virus,714385,false,false
Paramyxovirus bat/GH27a/2009,Paramyxovirus bat/GH27a/2009,virus,714368,false,false
Paramyxovirus bat/GH28/2009,Paramyxovirus bat/GH28/2009,virus,714386,false,false
Paramyxovirus bat/GH3//2009,Paramyxovirus bat/GH3//2009,virus,714365,false,false
Paramyxovirus bat/GH3/2009,Paramyxovirus bat/GH3/2009,virus,714376,false,false
Paramyxovirus bat/GH30/2009,Paramyxovirus bat/GH30/2009,virus,714387,false,false
Paramyxovirus bat/GH31/2009,Paramyxovirus bat/GH31/2009,virus,714375,false,false
Paramyxovirus bat/GH33/2008,Paramyxovirus bat/GH33/2008,virus,589521,false,false
Paramyxovirus bat/GH4/2009,Paramyxovirus bat/GH4/2009,virus,714369,false,false
Paramyxovirus bat/GH47/2008,Paramyxovirus bat/GH47/2008,virus,589524,false,false
Paramyxovirus bat/GH48/2008,Paramyxovirus bat/GH48/2008,virus,589525,false,false
Paramyxovirus bat/GH6//2009,Paramyxovirus bat/GH6//2009,virus,714366,false,false
Paramyxovirus bat/GH6/2009,Paramyxovirus bat/GH6/2009,virus,714373,false,false
Paramyxovirus PREDICT_PMV-56,Paramyxovirus PREDICT_PMV-56,virus,1647256,false,false
Psipapillomavirus 2,Psipapillomavirus 2,virus,2170170,false,false
Psipapillomavirus 3,Psipapillomavirus 3,virus,2170171,false,false
Rotavirus H,Rotavirus H,virus,1348384,false,false
Rousettus bat coronavirus HKU9,Rousettus bat coronavirus HKU9,virus,694006,false,false
Shimoni bat lyssavirus,Shimoni bat lyssavirus,virus,746543,false,false
Teschovirus sp.,Teschovirus sp.,virus,2004715,false,false
Elapid 1 orthobornavirus,Elapid 1 orthobornavirus,virus,1881950,false,false
Elephantopus scaber closterovirus,Elephantopus scaber closterovirus,virus,2738916,false,false
Asian elephant endotheliolytic herpesvirus,Asian elephant endotheliolytic herpesvirus,virus,91179,false,false
Elephant endotheliotropic herpesvirus 3,Elephant endotheliotropic herpesvirus 3,virus,548913,false,false
Elephant endotheliotropic herpesvirus 4,Elephant endotheliotropic herpesvirus 4,virus,548914,false,false
Elephant endotheliotropic herpesvirus 5,Elephant endotheliotropic herpesvirus 5,virus,768738,false,false
Elephant gammaherpesvirus 2,Elephant gammaherpesvirus 2,virus,768741,false,false
Elephant gammaherpesvirus 3A,Elephant gammaherpesvirus 3A,virus,768742,false,false
Elephant gammaherpesvirus 5,Elephant gammaherpesvirus 5,virus,768744,false,false
Elephantid betaherpesvirus 1,Elephantid betaherpesvirus 1,virus,146015,false,false
Elephantid herpesvirus 3,Elephantid herpesvirus 3,virus,353637,false,false
Elephantid herpesvirus 4,Elephantid herpesvirus 4,virus,353638,false,false
Elephas maximus gammaherpesvirus 1,Elephas maximus gammaherpesvirus 1,virus,462297,false,false
Aveparvovirus sp.,Aveparvovirus sp.,virus,2715213,false,false
Emydoidea blandingii herpesvirus 2,Emydoidea blandingii herpesvirus 2,virus,2726021,false,false
Emydoidea herpesvirus 1,Emydoidea herpesvirus 1,virus,2079459,false,false
Lambdapapillomavirus 4,Lambdapapillomavirus 4,virus,1175855,false,false
Mustelid herpesvirus-2,Mustelid herpesvirus-2,virus,943082,false,false
Sea otter adenovirus 1,Sea otter adenovirus 1,virus,1882383,false,false
Sea otter herpesvirus,Sea otter herpesvirus,virus,1906351,false,false
Sea otter parvovirus 1,Sea otter parvovirus 1,virus,1882382,false,false
Sea otter polyomavirus 1,Sea otter polyomavirus 1,virus,1552409,false,false
Sea otterpox virus,Sea otterpox virus,virus,2734573,false,false
Adenoviridae sp.,Adenoviridae sp.,virus,2558248,false,false
Bat coronavirus GCCDC1,Bat coronavirus GCCDC1,virus,2126098,false,false
Bat filovirus,Bat filovirus,virus,1677943,false,false
Bat gammaretrovirus,Bat gammaretrovirus,virus,1157040,false,false
Coronavirus PREDICT CoV-22,Coronavirus PREDICT CoV-22,virus,2042549,false,false
Filoviridae sp.,Filoviridae sp.,virus,2740714,false,false
Flaviviridae sp.,Flaviviridae sp.,virus,1955163,false,false
Henipavirus YN12069/CHN/2012,Henipavirus YN12069/CHN/2012,virus,1348067,false,false
Orthoreovirus sp.,Orthoreovirus sp.,virus,2558258,false,false
Polyomaviridae sp.,Polyomaviridae sp.,virus,2202645,false,false
Pteropine orthoreovirus,Pteropine orthoreovirus,virus,1459003,false,false
Rotavirus sp.,Rotavirus sp.,virus,10970,false,false
Rousettus bat coronavirus GCCDC1,Rousettus bat coronavirus GCCDC1,virus,2501962,false,false
Hantavirus YN06-153,Hantavirus YN06-153,virus,1093942,false,false
Hantavirus YN06-254,Hantavirus YN06-254,virus,1093943,false,false
Hantavirus YN06-256,Hantavirus YN06-256,virus,1093944,false,false
Hantavirus YN06-257,Hantavirus YN06-257,virus,1093945,false,false
Hantavirus YN06-362,Hantavirus YN06-362,virus,1093948,false,false
Hantavirus YN06-455,Hantavirus YN06-455,virus,1093950,false,false
Hantavirus YN06-489,Hantavirus YN06-489,virus,1093951,false,false
Hantavirus YN06-747,Hantavirus YN06-747,virus,1093954,false,false
Hantavirus YN06-868,Hantavirus YN06-868,virus,1093957,false,false
Vole astrovirus Ec/FG004/Yunnan,Vole astrovirus Ec/FG004/Yunnan,virus,1524028,false,false
Vole astrovirus Ec/FG005/Yunnan,Vole astrovirus Ec/FG005/Yunnan,virus,1524029,false,false
Vole astrovirus Ec/FG006/Yunnan,Vole astrovirus Ec/FG006/Yunnan,virus,1524030,false,false
Vole astrovirus Ec/FG008/Yunnan,Vole astrovirus Ec/FG008/Yunnan,virus,1524031,false,false
Vole astrovirus Ec/FG009/Yunnan,Vole astrovirus Ec/FG009/Yunnan,virus,1524032,false,false
Vole astrovirus Ec/FG011/Yunnan,Vole astrovirus Ec/FG011/Yunnan,virus,1524033,false,false
Vole astrovirus Ec/FG014/Yunnan,Vole astrovirus Ec/FG014/Yunnan,virus,1524034,false,false
Vole astrovirus Ec/FG015/Yunnan,Vole astrovirus Ec/FG015/Yunnan,virus,1524035,false,false
Vole astrovirus Ec/FG018/Yunnan,Vole astrovirus Ec/FG018/Yunnan,virus,1524036,false,false
Vole astrovirus Ec/FG019/Yunnan,Vole astrovirus Ec/FG019/Yunnan,virus,1524037,false,false
Vole astrovirus Ec/FG020/Yunnan,Vole astrovirus Ec/FG020/Yunnan,virus,1524038,false,false
Vole astrovirus Ec/FG025/Yunnan,Vole astrovirus Ec/FG025/Yunnan,virus,1524039,false,false
Vole astrovirus Ec/FG032/Yunnan,Vole astrovirus Ec/FG032/Yunnan,virus,1524040,false,false
Vole astrovirus Ec/FG033/Yunnan,Vole astrovirus Ec/FG033/Yunnan,virus,1524041,false,false
Vole astrovirus Ec/FG034/Yunnan,Vole astrovirus Ec/FG034/Yunnan,virus,1524042,false,false
Vole astrovirus Ec/FG064/Yunnan,Vole astrovirus Ec/FG064/Yunnan,virus,1524043,false,false
Vole astrovirus Ec/FG065/Yunnan,Vole astrovirus Ec/FG065/Yunnan,virus,1524044,false,false
Vole astrovirus Ec/FG068/Yunnan,Vole astrovirus Ec/FG068/Yunnan,virus,1524045,false,false
Vole astrovirus Ec/FG069/Yunnan,Vole astrovirus Ec/FG069/Yunnan,virus,1524046,false,false
Vole astrovirus Ec/FG070/Yunnan,Vole astrovirus Ec/FG070/Yunnan,virus,1524047,false,false
Vole astrovirus Ec/FG075/Yunnan,Vole astrovirus Ec/FG075/Yunnan,virus,1524048,false,false
Vole astrovirus Ec/FG083/Yunnan,Vole astrovirus Ec/FG083/Yunnan,virus,1524049,false,false
Vole astrovirus Ec/FG084/Yunnan,Vole astrovirus Ec/FG084/Yunnan,virus,1524050,false,false
Vole astrovirus Ec/FG089/Yunnan,Vole astrovirus Ec/FG089/Yunnan,virus,1524051,false,false
Vole astrovirus Ec/FG091-1/Yunnan,Vole astrovirus Ec/FG091-1/Yunnan,virus,1524052,false,false
Vole astrovirus Ec/FG091-2/Yunnan,Vole astrovirus Ec/FG091-2/Yunnan,virus,1524053,false,false
Vole astrovirus Ec/FG094/Yunnan,Vole astrovirus Ec/FG094/Yunnan,virus,1524054,false,false
Vole astrovirus Ec/FG096/Yunnan,Vole astrovirus Ec/FG096/Yunnan,virus,1524055,false,false
Vole astrovirus Ec/FG099/Yunnan,Vole astrovirus Ec/FG099/Yunnan,virus,1524056,false,false
Vole astrovirus Ec/FG100/Yunnan,Vole astrovirus Ec/FG100/Yunnan,virus,1524057,false,false
Vole astrovirus Ec/FG136/Yunnan,Vole astrovirus Ec/FG136/Yunnan,virus,1524058,false,false
Vole astrovirus Ec/FG139/Yunnan,Vole astrovirus Ec/FG139/Yunnan,virus,1524059,false,false
Vole astrovirus Ec/FG141/Yunnan,Vole astrovirus Ec/FG141/Yunnan,virus,1524060,false,false
Vole astrovirus Ec/FG142/Yunnan,Vole astrovirus Ec/FG142/Yunnan,virus,1524061,false,false
Vole astrovirus Ec/FG143/Yunnan,Vole astrovirus Ec/FG143/Yunnan,virus,1524062,false,false
Vole astrovirus Ec/FG146/Yunnan,Vole astrovirus Ec/FG146/Yunnan,virus,1524063,false,false
Vole astrovirus Ec/FG148/Yunnan,Vole astrovirus Ec/FG148/Yunnan,virus,1524064,false,false
Fugong orthohantavirus,Fugong orthohantavirus,virus,1980469,false,false
Hantavirus YN06-365,Hantavirus YN06-365,virus,1093949,false,false
Hantavirus YN06-696,Hantavirus YN06-696,virus,1093953,false,false
Hantavirus YN06-813,Hantavirus YN06-813,virus,1093956,false,false
Hantavirus YN06-862,Hantavirus YN06-862,virus,1031707,false,false
Hantavirus YN06-79,Hantavirus YN06-79,virus,1093955,false,false
Coronavirus JC54,Coronavirus JC54,virus,1964809,false,false
Eothenomys miletus hantavirus LX17,Eothenomys miletus hantavirus LX17,virus,1001974,false,false
Eothenomys miletus hantavirus LX43,Eothenomys miletus hantavirus LX43,virus,1001975,false,false
Hantavirus LX378,Hantavirus LX378,virus,858297,false,false
Luxi orthohantavirus,Luxi orthohantavirus,virus,1980479,false,false
Shrew astrovirus El/FG102/Yunnan,Shrew astrovirus El/FG102/Yunnan,virus,1524026,false,false
Shrew astrovirus El/FG159/Yunnan,Shrew astrovirus El/FG159/Yunnan,virus,1524027,false,false
Bat Paramyxovirus Epo_gam/CD078/DRC/2009,Bat Paramyxovirus Epo_gam/CD078/DRC/2009,virus,1112630,false,false
Bat Paramyxovirus Epo_gam/CD255/DRC/2009,Bat Paramyxovirus Epo_gam/CD255/DRC/2009,virus,1112622,false,false
Bat Paramyxovirus Epo_gam/CD273/DRC/2009,Bat Paramyxovirus Epo_gam/CD273/DRC/2009,virus,1112624,false,false
Kenya bat coronavirus BtKY54,Kenya bat coronavirus BtKY54,virus,903592,false,false
Kenya bat coronavirus BtKY55,Kenya bat coronavirus BtKY55,virus,903593,false,false
