VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
2711004,adenovirus predict_adv-77,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711005,adenovirus predict_adv-78,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711006,adenovirus predict_adv-79,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711007,adenovirus predict_adv-80,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711008,adenovirus predict_adv-81,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711009,adenovirus predict_adv-87,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2558901,adenovirus predict_adv-90,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711010,adenovirus predict_adv-91,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
1967472,adenovirus sp.,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115884,adenovirus zootoca35082,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2832510,adintoviridae sp.,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115885,adintovirus abramis16382,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115886,adintovirus ambystoma12263,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115889,adintovirus anguilla10665,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115890,adintovirus anguis11817,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115894,adintovirus bos4377,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115898,adintovirus canis10155,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115902,adintovirus corythoichthys13919,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115907,adintovirus felis5546,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115908,adintovirus felis8540,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115910,adintovirus homo12135,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115911,adintovirus homo13306,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115912,adintovirus homo3309,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115913,adintovirus homo3926,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115914,adintovirus homo5308,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115915,adintovirus homo5616,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115916,adintovirus homo7556,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115917,adintovirus homo9228,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115921,adintovirus macaca12800,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115922,adintovirus macaca7749,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115923,adintovirus manis3465,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115936,adintovirus pan3105,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115937,adintovirus panthera8025,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115938,adintovirus pavo15764,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115943,adintovirus sarcophilus2681,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115944,adintovirus sarcophilus4121,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
2835276,adintovirus sp.,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115948,adintovirus sus10555,,adintoviridae,orthopolintovirales,polintoviricetes,TRUE,FALSE
3115952,adomavirus anolis2692,,,,,TRUE,FALSE
