Host_Intermediate,Host,taxid,HostFamily,HostOrder,HostClass
Dicamptodon ensatus,Dicamptodon ensatus,43477,Dicamptodontidae,Caudata,Dipnotetrapodomorpha
Eurycea cirrigera,Eurycea cirrigera,332575,Plethodontidae,Caudata,Dipnotetrapodomorpha
Eurycea longicauda,Eurycea longicauda,43044,Plethodontidae,Caudata,Dipnotetrapodomorpha
Eurycea lucifuga,Eurycea lucifuga,422567,Plethodontidae,Caudata,Dipnotetrapodomorpha
Eurycea nana,Eurycea nana,147895,Plethodontidae,Caudata,Dipnotetrapodomorpha
Eurycea neotenes,Eurycea neotenes,147897,Plethodontidae,Caudata,Dipnotetrapodomorpha
Eurycea pterophila,Eurycea pterophila,147898,Plethodontidae,Caudata,Dipnotetrapodomorpha
Eurycea sosorum,Eurycea sosorum,147901,Plethodontidae,Caudata,Dipnotetrapodomorpha
Eurycea tonkawae,Eurycea tonkawae,147902,Plethodontidae,Caudata,Dipnotetrapodomorpha
Eurycea wilderae,Eurycea wilderae,52111,Plethodontidae,Caudata,Dipnotetrapodomorpha
Gyrinophilus porphyriticus,Gyrinophilus porphyriticus,134760,Plethodontidae,Caudata,Dipnotetrapodomorpha
Hynobius lichenatus,Hynobius lichenatus,324338,Hynobiidae,Caudata,Dipnotetrapodomorpha
Hynobius nebulosus,Hynobius nebulosus,294368,Hynobiidae,Caudata,Dipnotetrapodomorpha
Lissotriton vulgaris,Lissotriton vulgaris,8324,Salamandridae,Caudata,Dipnotetrapodomorpha
Necturus maculosus,Necturus maculosus,42757,Proteidae,Caudata,Dipnotetrapodomorpha
Notophthalmus viridescens,Notophthalmus viridescens,8316,Salamandridae,Caudata,Dipnotetrapodomorpha
Onychodactylus japonicus,Onychodactylus japonicus,288797,Hynobiidae,Caudata,Dipnotetrapodomorpha
Plethodon glutinosus,Plethodon glutinosus,43042,Plethodontidae,Caudata,Dipnotetrapodomorpha
Plethodon jordani,Plethodon jordani,8336,Plethodontidae,Caudata,Dipnotetrapodomorpha
Plethodon montanus,Plethodon montanus,315418,Plethodontidae,Caudata,Dipnotetrapodomorpha
Plethodon welleri,Plethodon welleri,154595,Plethodontidae,Caudata,Dipnotetrapodomorpha
Salamandra salamandra,Salamandra salamandra,57571,Salamandridae,Caudata,Dipnotetrapodomorpha
Tylototriton kweichowensis,Tylototriton kweichowensis,385676,Salamandridae,Caudata,Dipnotetrapodomorpha
Tylototriton taliangensis,Tylototriton taliangensis,129885,Salamandridae,Caudata,Dipnotetrapodomorpha
Accipiter cooperii,Accipiter cooperii,261198,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Accipiter gentilis,Accipiter gentilis,8957,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Accipiter gularis,Accipiter gularis,258530,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Accipiter nisus,Accipiter nisus,211598,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Accipiter trivirgatus,Accipiter trivirgatus,210844,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Aegypius monachus,Aegypius monachus,8959,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Aquila chrysaetos,Aquila chrysaetos,8962,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Aquila heliaca,Aquila heliaca,52410,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Aquila pomarina,Clanga pomarina,2675520,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Aquila rapax,Aquila rapax,252781,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteo brachyurus,Buteo brachyurus,223853,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteo buteo,Buteo buteo,30397,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteo jamaicensis,Buteo jamaicensis,56263,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteo lagopus,Buteo lagopus,115229,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteo lineatus,Buteo lineatus,223475,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteo regalis,Buteo regalis,223441,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteo rufinus,Buteo rufinus,115134,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteo swainsoni,Buteo swainsoni,156757,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Buteogallus urubitinga,Buteogallus urubitinga,223497,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Circaetus pectoralis,Circaetus pectoralis,321084,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Circus aeruginosus,Circus aeruginosus,8964,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Circus cyaneus,Circus cyaneus,43466,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Gymnogyps californianus,Gymnogyps californianus,33616,Cathartidae,Accipitriformes,Dipnotetrapodomorpha
Gypaetus barbatus,Gypaetus barbatus,33610,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Gyps africanus,Gyps africanus,43490,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Gyps bengalensis,Gyps bengalensis,43491,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Gyps fulvus,Gyps fulvus,36247,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Gyps rueppellii,Gyps rueppelli,8967,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Haliaeetus albicilla,Haliaeetus albicilla,8969,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Haliaeetus leucocephalus,Haliaeetus leucocephalus,52644,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Haliaeetus pelagicus,Haliaeetus pelagicus,52647,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Haliastur indus,Haliastur indus,8971,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Hieraaetus pennatus,Hieraaetus pennatus,70275,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Ictinia mississippiensis,Ictinia mississippiensis,371914,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Milvus migrans,Milvus migrans,52810,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Milvus milvus,Milvus milvus,43518,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Necrosyrtes monachus,Necrosyrtes monachus,30399,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Neophron percnopterus,Neophron percnopterus,33608,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Nisaetus cirrhatus,Nisaetus cirrhatus,252795,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Nisaetus nipalensis,Nisaetus nipalensis,214438,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Pandion haliaetus,Pandion haliaetus,56262,Pandionidae,Accipitriformes,Dipnotetrapodomorpha
Parabuteo unicinctus,Parabuteo unicinctus,223492,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Pernis apivorus,Pernis apivorus,43551,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Rupornis magnirostris,Rupornis magnirostris,2709556,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Sagittarius serpentarius,Sagittarius serpentarius,56258,Sagittariidae,Accipitriformes,Dipnotetrapodomorpha
Terathopius ecaudatus,Terathopius ecaudatus,321104,Accipitridae,Accipitriformes,Dipnotetrapodomorpha
Aix galericulata,Aix galericulata,8832,Anatidae,Anseriformes,Dipnotetrapodomorpha
Aix sponsa,Aix sponsa,8833,Anatidae,Anseriformes,Dipnotetrapodomorpha
Alopochen aegyptiaca,Alopochen aegyptiaca,30382,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas acuta,Anas acuta,28680,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas americana,Mareca americana,75832,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas bahamensis,Anas bahamensis,75834,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas capensis,Anas capensis,8837,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas castanea,Anas castanea,45631,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas clypeata,Spatula clypeata,75838,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas crecca,Anas crecca,75839,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas crecca carolinensis,Anas carolinensis,75836,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas cyanoptera,Anas cyanoptera,75840,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas discors,Spatula discors,75842,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas erythrorhyncha,Anas erythrorhyncha,75843,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas formosa,Sibirionetta formosa,56278,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas fulvigula,Anas fulvigula,75846,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas gibberifrons,Anas gibberifrons,75848,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas melleri,Anas melleri,75852,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas penelope,Mareca penelope,8838,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas platyrhynchos,Anas platyrhynchos,8839,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas poecilorhyncha,Anas poecilorhyncha,75854,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas querquedula,Anas querquedula,75856,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas rubripes,Anas rubripes,75857,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas strepera,Mareca strepera,75861,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anas superciliosa,Anas superciliosa,45632,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anser albifrons,Anser albifrons,50365,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anser anser,Anser anser,8843,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anser brachyrhynchus,Anser brachyrhynchus,132585,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anser cygnoides,Anser cygnoides,8845,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anser fabalis,Anser fabalis,132587,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anser indicus,Anser indicus,8846,Anatidae,Anseriformes,Dipnotetrapodomorpha
Anseranas semipalmata,Anseranas semipalmata,8851,Anseranatidae,Anseriformes,Dipnotetrapodomorpha
Aythya affinis,Aythya affinis,189533,Anatidae,Anseriformes,Dipnotetrapodomorpha
Aythya americana,Aythya americana,30385,Anatidae,Anseriformes,Dipnotetrapodomorpha
Aythya collaris,Aythya collaris,189535,Anatidae,Anseriformes,Dipnotetrapodomorpha
Aythya ferina,Aythya ferina,219593,Anatidae,Anseriformes,Dipnotetrapodomorpha
Aythya fuligula,Aythya fuligula,219594,Anatidae,Anseriformes,Dipnotetrapodomorpha
Aythya valisineria,Aythya valisineria,110915,Anatidae,Anseriformes,Dipnotetrapodomorpha
Branta bernicla,Branta bernicla,184712,Anatidae,Anseriformes,Dipnotetrapodomorpha
Branta canadensis,Branta canadensis,8853,Anatidae,Anseriformes,Dipnotetrapodomorpha
Branta leucopsis,Branta leucopsis,184711,Anatidae,Anseriformes,Dipnotetrapodomorpha
Branta ruficollis,Branta ruficollis,184715,Anatidae,Anseriformes,Dipnotetrapodomorpha
Branta sandvicensis,Branta sandvicensis,56282,Anatidae,Anseriformes,Dipnotetrapodomorpha
Bucephala albeola,Bucephala albeola,279934,Anatidae,Anseriformes,Dipnotetrapodomorpha
Bucephala clangula,Bucephala clangula,107022,Anatidae,Anseriformes,Dipnotetrapodomorpha
Cairina moschata,Cairina moschata,8855,Anatidae,Anseriformes,Dipnotetrapodomorpha
Chen caerulescens,Anser caerulescens,8849,Anatidae,Anseriformes,Dipnotetrapodomorpha
Chen rossii,Anser rossii,56281,Anatidae,Anseriformes,Dipnotetrapodomorpha
Clangula hyemalis,Clangula hyemalis,197941,Anatidae,Anseriformes,Dipnotetrapodomorpha
Cygnus atratus,Cygnus atratus,8868,Anatidae,Anseriformes,Dipnotetrapodomorpha
Cygnus columbianus,Cygnus columbianus,110926,Anatidae,Anseriformes,Dipnotetrapodomorpha
Cygnus cygnus,Cygnus cygnus,219595,Anatidae,Anseriformes,Dipnotetrapodomorpha
Cygnus melancoryphus,Cygnus melancoryphus,41691,Anatidae,Anseriformes,Dipnotetrapodomorpha
Cygnus olor,Cygnus olor,8869,Anatidae,Anseriformes,Dipnotetrapodomorpha
Dendrocygna autumnalis,Dendrocygna autumnalis,8873,Anatidae,Anseriformes,Dipnotetrapodomorpha
Dendrocygna javanica,Dendrocygna javanica,60182,Anatidae,Anseriformes,Dipnotetrapodomorpha
Dendrocygna viduata,Dendrocygna viduata,8876,Anatidae,Anseriformes,Dipnotetrapodomorpha
Lophodytes cucullatus,Lophodytes cucullatus,279951,Anatidae,Anseriformes,Dipnotetrapodomorpha
Mareca penelope,Mareca penelope,8838,Anatidae,Anseriformes,Dipnotetrapodomorpha
Mareca strepera,Mareca strepera,75861,Anatidae,Anseriformes,Dipnotetrapodomorpha
Marmaronetta angustirostris,Marmaronetta angustirostris,75875,Anatidae,Anseriformes,Dipnotetrapodomorpha
Melanitta fusca,Melanitta fusca,371864,Anatidae,Anseriformes,Dipnotetrapodomorpha
Melanitta perspicillata,Melanitta perspicillata,371863,Anatidae,Anseriformes,Dipnotetrapodomorpha
Mergellus albellus,Mergellus albellus,107026,Anatidae,Anseriformes,Dipnotetrapodomorpha
Mergus merganser,Mergus merganser,8880,Anatidae,Anseriformes,Dipnotetrapodomorpha
Mergus serrator,Mergus serrator,8879,Anatidae,Anseriformes,Dipnotetrapodomorpha
Neochen jubata,Neochen jubata,8882,Anatidae,Anseriformes,Dipnotetrapodomorpha
Netta peposaca,Netta peposaca,541013,Anatidae,Anseriformes,Dipnotetrapodomorpha
Netta rufina,Netta rufina,30387,Anatidae,Anseriformes,Dipnotetrapodomorpha
Oxyura jamaicensis,Oxyura jamaicensis,8884,Anatidae,Anseriformes,Dipnotetrapodomorpha
Oxyura leucocephala,Oxyura leucocephala,90703,Anatidae,Anseriformes,Dipnotetrapodomorpha
Sibirionetta formosa,Sibirionetta formosa,56278,Anatidae,Anseriformes,Dipnotetrapodomorpha
Somateria fischeri,Somateria fischeri,50367,Anatidae,Anseriformes,Dipnotetrapodomorpha
Somateria mollissima,Somateria mollissima,76058,Anatidae,Anseriformes,Dipnotetrapodomorpha
Tachyeres pteneres,Tachyeres pteneres,75881,Anatidae,Anseriformes,Dipnotetrapodomorpha
Tadorna ferruginea,Tadorna ferruginea,45639,Anatidae,Anseriformes,Dipnotetrapodomorpha
Tadorna tadorna,Tadorna tadorna,75865,Anatidae,Anseriformes,Dipnotetrapodomorpha
Tadorna tadornoides,Tadorna tadornoides,45638,Anatidae,Anseriformes,Dipnotetrapodomorpha
Apus apus,Apus apus,8895,Apodidae,Apodiformes,Dipnotetrapodomorpha
Eulidia yarrellii,Eulidia yarrellii,1159642,Trochilidae,Apodiformes,Dipnotetrapodomorpha
Eupetomena macroura,Eupetomena macroura,153633,Trochilidae,Apodiformes,Dipnotetrapodomorpha
Apteryx australis,Apteryx australis,8822,Apterygidae,Apterygiformes,Dipnotetrapodomorpha
Apteryx owenii,Apteryx owenii,8824,Apterygidae,Apterygiformes,Dipnotetrapodomorpha
Bucorvus abyssinicus,Bucorvus abyssinicus,153643,Bucorvidae,Bucerotiformes,Dipnotetrapodomorpha
Bycanistes fistulator,Bycanistes fistulator,1303088,Bucerotidae,Bucerotiformes,Dipnotetrapodomorpha
Phoeniculus purpureus,Phoeniculus purpureus,113189,Phoeniculidae,Upupiformes,Dipnotetrapodomorpha
Upupa epops,Upupa epops,57439,Upupidae,Upupiformes,Dipnotetrapodomorpha
Antrostomus carolinensis,Antrostomus carolinensis,279965,Caprimulgidae,Caprimulgiformes,Dipnotetrapodomorpha
Caprimulgus europaeus,Caprimulgus europaeus,111811,Caprimulgidae,Caprimulgiformes,Dipnotetrapodomorpha
Macrotis lagotis,Macrotis lagotis,92651,Peramelidae,Peramelemorphia,Dipnotetrapodomorpha
Podargus strigoides,Podargus strigoides,8905,Podargidae,Caprimulgiformes,Dipnotetrapodomorpha
Dromaius novaehollandiae,Dromaius novaehollandiae,8790,Dromaiidae,Casuariiformes,Dipnotetrapodomorpha
Cathartes aura,Cathartes aura,43455,Cathartidae,Accipitriformes,Dipnotetrapodomorpha
Coragyps atratus,Coragyps atratus,33614,Cathartidae,Accipitriformes,Dipnotetrapodomorpha
Actitis macularius,Actitis macularius,190659,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Anous stolidus,Anous stolidus,297802,Laridae,Charadriiformes,Dipnotetrapodomorpha
Anous tenuirostris,Anous tenuirostris,297803,Laridae,Charadriiformes,Dipnotetrapodomorpha
Arenaria interpres,Arenaria interpres,54971,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Arenaria melanocephala,Arenaria melanocephala,279931,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Burhinus oedicnemus,Burhinus oedicnemus,85105,Burhinidae,Charadriiformes,Dipnotetrapodomorpha
Calidris acuminata,Calidris acuminata,192723,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris alba,Calidris alba,279936,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris alpina,Calidris alpina,8919,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris canutus,Calidris canutus,227173,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris ferruginea,Calidris ferruginea,217133,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris mauri,Calidris mauri,279941,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris minuta,Calidris minuta,670340,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris minutilla,Calidris minutilla,279935,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris ptilocnemis,Calidris ptilocnemis,217132,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris pugnax,Calidris pugnax,198806,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris pusilla,Calidris pusilla,279961,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris pygmaea,Calidris pygmaea,425635,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Calidris ruficollis,Calidris ruficollis,272047,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Charadrius alexandrinus,Charadrius alexandrinus,50392,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Charadrius melodus,Charadrius melodus,279942,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Chionis albus,Chionis albus,240203,Chionididae,Charadriiformes,Dipnotetrapodomorpha
Chlidonias hybrida,Chlidonias hybrida,297805,Laridae,Charadriiformes,Dipnotetrapodomorpha
Chlidonias niger,Chlidonias niger,279945,Laridae,Charadriiformes,Dipnotetrapodomorpha
Chroicocephalus brunnicephalus,Chroicocephalus brunnicephalus,2772041,Laridae,Charadriiformes,Dipnotetrapodomorpha
Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae,2547444,Laridae,Charadriiformes,Dipnotetrapodomorpha
Chroicocephalus ridibundus,Chroicocephalus ridibundus,1192867,Laridae,Charadriiformes,Dipnotetrapodomorpha
Elseyornis melanops,Elseyornis melanops,50406,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Erythrogonys cinctus,Erythrogonys cinctus,425633,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Fratercula arctica,Fratercula arctica,28701,Alcidae,Charadriiformes,Dipnotetrapodomorpha
Fratercula cirrhata,Fratercula cirrhata,43311,Alcidae,Charadriiformes,Dipnotetrapodomorpha
Gallinago gallinago,Gallinago gallinago,107377,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Haematopus ostralegus,Haematopus ostralegus,31908,Haematopodidae,Charadriiformes,Dipnotetrapodomorpha
Haematopus unicolor,Haematopus unicolor,458153,Haematopodidae,Charadriiformes,Dipnotetrapodomorpha
Himantopus himantopus,Himantopus himantopus,225398,Recurvirostridae,Charadriiformes,Dipnotetrapodomorpha
Hoplopterus spinosus,Vanellus spinosus,8909,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Ichthyaetus ichthyaetus,Ichthyaetus ichthyaetus,126702,Laridae,Charadriiformes,Dipnotetrapodomorpha
Ichthyaetus leucophthalmus,Ichthyaetus leucophthalmus,328043,Laridae,Charadriiformes,Dipnotetrapodomorpha
Ichthyaetus melanocephalus,Ichthyaetus melanocephalus,1288290,Laridae,Charadriiformes,Dipnotetrapodomorpha
Irediparra gallinacea,Irediparra gallinacea,54506,Jacanidae,Charadriiformes,Dipnotetrapodomorpha
Jacana jacana,Jacana jacana,54508,Jacanidae,Charadriiformes,Dipnotetrapodomorpha
Larosterna inca,Larosterna inca,297811,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus argentatus,Larus argentatus,35669,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus cachinnans,Larus cachinnans,119609,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus californicus,Larus californicus,126681,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus canus,Larus canus,28681,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus crassirostris,Larus crassirostris,179808,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus delawarensis,Larus delawarensis,126683,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus dominicanus,Larus dominicanus,37036,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus fuscus,Larus fuscus,8915,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus glaucescens,Larus glaucescens,119606,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus hyperboreus,Larus hyperboreus,119637,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus marinus,Larus marinus,8912,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus michahellis,Larus michahellis,119627,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus mongolicus,Larus mongolicus,119967,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus occidentalis,Larus occidentalis,126713,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus schistisagus,Larus schistisagus,119607,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus smithsonianus,Larus smithsonianus,243888,Laridae,Charadriiformes,Dipnotetrapodomorpha
Larus vegae,Larus vegae,119608,Laridae,Charadriiformes,Dipnotetrapodomorpha
Leucophaeus atricilla,Leucophaeus atricilla,126679,Laridae,Charadriiformes,Dipnotetrapodomorpha
Leucophaeus pipixcan,Leucophaeus pipixcan,690715,Laridae,Charadriiformes,Dipnotetrapodomorpha
Limicola falcinellus,Limicola falcinellus,425645,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Limnodromus scolopaceus,Limnodromus scolopaceus,161678,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Limosa lapponica,Limosa lapponica,161683,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Limosa limosa,Limosa limosa,161680,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Numenius arquata,Numenius arquata,31919,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Onychoprion fuscatus,Onychoprion fuscatus,425648,Laridae,Charadriiformes,Dipnotetrapodomorpha
Phalaropus fulicarius,Phalaropus fulicarius,279952,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Pluvialis apricaria,Pluvialis apricaria,670352,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Pluvialis fulva,Pluvialis fulva,371922,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Pluvialis squatarola,Pluvialis squatarola,171273,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Rissa tridactyla,Rissa tridactyla,75485,Laridae,Charadriiformes,Dipnotetrapodomorpha
Rynchops niger,Rynchops niger,227184,Laridae,Charadriiformes,Dipnotetrapodomorpha
Scolopax minor,Scolopax minor,56299,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Scolopax rusticola,Scolopax rusticola,100826,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Stercorarius antarcticus,Stercorarius antarcticus,555350,Stercorariidae,Charadriiformes,Dipnotetrapodomorpha
Stercorarius maccormicki,Stercorarius maccormicki,395889,Stercorariidae,Charadriiformes,Dipnotetrapodomorpha
Stercorarius parasiticus,Stercorarius parasiticus,54059,Stercorariidae,Charadriiformes,Dipnotetrapodomorpha
Stercorarius skua,Stercorarius skua,54056,Stercorariidae,Charadriiformes,Dipnotetrapodomorpha
Sterna hirundo,Sterna hirundo,108405,Laridae,Charadriiformes,Dipnotetrapodomorpha
Sternula albifrons,Sternula albifrons,507597,Laridae,Charadriiformes,Dipnotetrapodomorpha
Sternula antillarum,Sternula antillarum,471862,Laridae,Charadriiformes,Dipnotetrapodomorpha
Thinornis novaeseelandiae,Thinornis novaeseelandiae,425654,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Tringa brevipes,Tringa brevipes,507598,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Tringa flavipes,Tringa flavipes,161739,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Tringa glareola,Tringa glareola,171269,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Tringa melanoleuca,Tringa melanoleuca,161682,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Tringa ochropus,Tringa ochropus,261960,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Tringa totanus,Tringa totanus,171271,Scolopacidae,Charadriiformes,Dipnotetrapodomorpha
Uria aalge,Uria aalge,13746,Alcidae,Charadriiformes,Dipnotetrapodomorpha
Uria lomvia,Uria lomvia,28711,Alcidae,Charadriiformes,Dipnotetrapodomorpha
Vanellus coronatus,Vanellus coronatus,2696577,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Vanellus vanellus,Vanellus vanellus,100859,Charadriidae,Charadriiformes,Dipnotetrapodomorpha
Ciconia boyciana,Ciconia boyciana,52775,Ciconiidae,Ciconiiformes,Dipnotetrapodomorpha
Ciconia ciconia,Ciconia ciconia,8928,Ciconiidae,Ciconiiformes,Dipnotetrapodomorpha
Ciconia nigra,Ciconia nigra,36241,Ciconiidae,Ciconiiformes,Dipnotetrapodomorpha
Leptoptilos crumeniferus,Leptoptilos crumeniferus,33589,Ciconiidae,Ciconiiformes,Dipnotetrapodomorpha
Mycteria leucocephala,Mycteria leucocephala,52781,Ciconiidae,Ciconiiformes,Dipnotetrapodomorpha
Chalcophaps indica,Chalcophaps indica,187108,Columbidae,Columbiformes,Dipnotetrapodomorpha
Columba livia,Columba livia,8932,Columbidae,Columbiformes,Dipnotetrapodomorpha
Columba oenas,Columba oenas,160229,Columbidae,Columbiformes,Dipnotetrapodomorpha
Columba palumbus,Columba palumbus,8934,Columbidae,Columbiformes,Dipnotetrapodomorpha
Columbina passerina,Columbina passerina,111974,Columbidae,Columbiformes,Dipnotetrapodomorpha
Columbina picui,Columbina picui,115618,Columbidae,Columbiformes,Dipnotetrapodomorpha
Columbina talpacoti,Columbina talpacoti,504887,Columbidae,Columbiformes,Dipnotetrapodomorpha
Ducula bicolor,Ducula bicolor,115645,Columbidae,Columbiformes,Dipnotetrapodomorpha
Geopelia cuneata,Geopelia cuneata,115648,Columbidae,Columbiformes,Dipnotetrapodomorpha
Geopelia placida,Geopelia placida,471127,Columbidae,Columbiformes,Dipnotetrapodomorpha
Geopelia striata,Geopelia striata,444140,Columbidae,Columbiformes,Dipnotetrapodomorpha
Geotrygon montana,Geotrygon montana,115651,Columbidae,Columbiformes,Dipnotetrapodomorpha
Goura cristata,Goura cristata,115654,Columbidae,Columbiformes,Dipnotetrapodomorpha
